continent,decade,year,total_deaths,total_affected,total_damages,total_occurrences
Africa,1950.0,1955.0,950.7333333333333,15512.666666666666,8400.0,15
Africa,1960.0,1966.8735632183907,98.39080459770115,128487.54022988505,8092.413793103448,87
Africa,1970.0,1977.0,1007.2615384615384,421601.54615384614,51393.23846153846,130
Africa,1980.0,1986.3009708737864,1886.0582524271845,284341.24595469254,13535.417475728156,309
Africa,1990.0,1997.0454545454545,140.20804195804195,178204.8688811189,7068.986013986014,572
Africa,2000.0,2005.4791059280856,78.25850340136054,163270.44314868803,8992.860058309037,1029
Africa,2010.0,2015.7944055944056,65.11328671328671,247996.53146853147,17827.23776223776,715
Africa,2020.0,2021.483870967742,70.13709677419355,464072.6612903226,41427.41935483871,124
Americas,1950.0,1954.895238095238,179.0857142857143,23178.876190476192,57669.619047619046,105
Americas,1960.0,1966.328431372549,438.3627450980392,135535.23039215687,46788.3431372549,204
Americas,1970.0,1976.017094017094,250.93162393162393,111875.54700854702,109475.12393162394,234
Americas,1980.0,1986.270325203252,108.7520325203252,128773.65853658537,131861.97357723577,492
Americas,1990.0,1995.780193236715,94.56038647342996,49009.346618357486,251965.57487922706,828
Americas,2000.0,2005.496875,266.1166666666667,89628.809375,463777.5989583333,960
Americas,2010.0,2015.4896313364056,17.29953917050691,228956.75921658985,907910.3006912442,868
Americas,2020.0,2021.3467336683418,27.376884422110553,42836.633165829146,859346.6482412061,199
Asia,1950.0,1955.345945945946,11455.205405405406,105619.19459459459,5489.5675675675675,185
Asia,1960.0,1966.2051282051282,7301.92673992674,737968.8937728938,10566.882783882784,273
Asia,1970.0,1976.547619047619,1042.7880952380951,1228718.080952381,39191.240476190476,420
Asia,1980.0,1985.7275242047026,217.45504840940526,1494736.7026279392,79632.11756569849,723
Asia,1990.0,1995.914859437751,258.82008032128516,1548731.5044176707,308079.98554216867,1245
Asia,2000.0,2005.3343539497857,414.2559706062462,1296220.0275566443,230924.1371708512,1633
Asia,2010.0,2015.5599489795918,69.69068877551021,773246.7302295918,485730.23214285716,1568
Asia,2020.0,2021.351851851852,42.65185185185185,453319.4185185185,233487.8777777778,270
Europe,1950.0,1954.0740740740741,286.77777777777777,24145.37037037037,27709.25925925926,27
Europe,1960.0,1966.142857142857,125.87755102040816,77056.85714285714,116587.75510204081,49
Europe,1970.0,1976.148148148148,112.27160493827161,38217.246913580246,396671.60493827163,81
Europe,1980.0,1986.1724137931035,99.97931034482758,42327.8275862069,221844.1379310345,290
Europe,1990.0,1996.642685851319,17.40767386091127,33130.99520383693,225561.8201438849,417
Europe,2000.0,2005.3013468013469,233.54713804713805,12210.944444444445,198824.30639730638,594
Europe,2010.0,2015.6995305164319,39.35446009389671,11671.793427230046,234314.03051643193,426
Europe,2020.0,2021.3793103448277,4.310344827586207,7436.022988505747,603379.3103448276,87
Oceania,1950.0,1955.5882352941176,385.11764705882354,682.3529411764706,264.1764705882353,17
Oceania,1960.0,1966.6153846153845,43.53846153846154,5643.384615384615,38632.0,26
Oceania,1970.0,1975.6666666666667,12.105263157894736,6415.403508771929,44844.17543859649,57
Oceania,1980.0,1986.0471698113208,6.462264150943396,14017.547169811322,89889.5,106
Oceania,1990.0,1995.844262295082,24.92622950819672,142285.70491803277,68009.18852459016,122
Oceania,2000.0,2005.0982658959538,9.560693641618498,6950.445086705202,160525.54913294798,173
Oceania,2010.0,2015.7891156462586,7.421768707482993,40820.244897959186,322056.5986394558,147
Oceania,2020.0,2021.36,2.2,14430.44,520560.0,25
