decade,disaster_type,year,total_deaths,total_affected,total_damages_('000_us$),instances
1950,Drought,1960,0,0,0,1
1950,Extreme temperature,1954,187,0,77500,8
1950,Flood,1955.045455,23548.57955,151652.0909,20215.90909,88
1950,Storm,1955.697842,290.7985612,49012.27338,23528.71223,139
1950,Wildfire,1956,11,0,0,1
1960,Drought,1966.754717,28502.83019,2419854.792,19030.5283,53
1960,Extreme temperature,1964.666667,125.2222222,0,0,9
1960,Flood,1966.407821,140.0167598,393300.2346,35213.2905,179
1960,Storm,1965.990698,1996.567442,163231.4558,37670.6186,215
1960,Wildfire,1967.571429,14.14285714,700,24357.14286,7
1970,Drought,1977.156627,1470.855422,3377040.783,91494.59036,83
1970,Extreme temperature,1976.111111,163.4444444,33.33333333,310000,18
1970,Flood,1976.573034,292.1161049,883458.6704,31546.02622,267
1970,Storm,1975.923077,189.5909091,230583.4196,65256.22727,286
1970,Wildfire,1976.571429,0.714285714,6742.857143,1881.142857,7
1980,Drought,1985.532787,4543.180328,4876164.902,179330.5656,122
1980,Extreme temperature,1986.978723,104.787234,22131.74468,42209.57447,47
1980,Flood,1985.820896,80.85447761,876595.9813,85389.91045,536
1980,Storm,1986.275316,78.00791139,221152.3592,116402.5316,632
1980,Wildfire,1985.076923,7.615384615,5978.865385,133654.2115,52
1990,Drought,1996.510345,22.02068966,2503124.8,247473.5517,145
1990,Extreme temperature,1996.675926,85.90740741,57058.98148,99883.87963,108
1990,Flood,1996.151199,103.4963504,1526439.842,242865.1272,959
1990,Storm,1995.751163,241.7418605,258066.7907,241209.2233,860
1990,Wildfire,1996.97619,7.19047619,27109.43651,158640.1349,126
2000,Drought,2005.343373,126.9096386,4418306.958,142417.1265,166
2000,Extreme temperature,2005.581081,665.9144144,384906.8243,169468.964,222
2000,Flood,2005.628506,32.17916428,610409.4064,108445.3835,1747
2000,Storm,2005.339097,165.5417867,375615.2671,462942.7493,1041
2000,Wildfire,2004.773109,6.285714286,17911.21008,184483.6471,119
2010,Drought,2015.272152,1.044303797,4031476.361,600627.6456,158
2010,Extreme temperature,2014.798913,127.7119565,59551.90761,36265.8913,184
2010,Flood,2015.724338,31.30406714,348521.4513,254438.7418,1549
2010,Storm,2015.698351,26.98933075,350004.4064,777789.547,1031
2010,Wildfire,2015.979798,7.97979798,116096.9293,705295.1515,99
2020,Drought,2021.419355,79.51612903,2709977.129,649322.5806,31
2020,Extreme temperature,2021.666667,122.4444444,3556.111111,622222.2222,9
2020,Flood,2021.356522,30.62318841,225980.0058,274496.3478,345
2020,Storm,2021.360215,15.22043011,117030.9409,814735.457,186
2020,Wildfire,2021.424242,6.090909091,28663.75758,302845.8182,33
